quantile     dif_S  dif_PO   dif_U   OH_PO   OH_FS    OH_U  ME_PPO
    prob    0.0943  0.4958  0.6158  0.0120  0.0354  0.1164  0.0368
0.000000         0       0       0       0       0       0       0
0.100000         6      43      55       0       1       8       1
0.250000         7      46      58       0       2       9       2
0.500000         9      50      62       1       3      12       4
0.750000        11      53      65       2       5      14       5
0.900000        13      56      68       3       6      16       6
0.990000        17      61      73       4       8      20       9
0.999000        19      65      76       6      10      23      11
0.999900        22      68      79       7      12      25      12
0.999990        24      71      81       8      14      27      14
1.000000       100     100     100     100     100     100     100
