ID        Sex       BirthYear BY.min    BY.max   
a00001    1         2000      -999      -999     
a00002    1         2000      -999      -999     
a00003    1         2000      -999      -999     
a00004    1         2000      -999      -999     
a00005    1         2000      -999      -999     
a00006    1         2000      -999      -999     
a00007    1         2000      -999      -999     
a00008    1         2000      -999      -999     
a00009    1         2000      -999      -999     
a00010    1         2000      -999      -999     
a00011    1         2000      -999      -999     
a00012    1         2000      -999      -999     
a00013    1         2000      -999      -999     
a00014    1         2000      -999      -999     
a00015    1         2000      -999      -999     
a00016    1         2000      -999      -999     
a00017    1         2000      -999      -999     
a00018    1         2000      -999      -999     
a00019    1         2000      -999      -999     
a00020    1         2000      -999      -999     
a00021    1         2000      -999      -999     
a00022    1         2000      -999      -999     
a00023    1         2000      -999      -999     
a00024    1         2000      -999      -999     
b00001    2         2000      -999      -999     
b00002    2         2000      -999      -999     
b00003    2         2000      -999      -999     
b00004    2         2000      -999      -999     
b00005    2         2000      -999      -999     
b00006    2         2000      -999      -999     
b00007    2         2000      -999      -999     
b00008    2         2000      -999      -999     
b00009    2         2000      -999      -999     
b00010    2         2000      -999      -999     
b00011    2         2000      -999      -999     
b00012    2         2000      -999      -999     
b00013    2         2000      -999      -999     
b00014    2         2000      -999      -999     
b00015    2         2000      -999      -999     
b00016    2         2000      -999      -999     
a01001    1         2001      -999      -999     
a01002    1         2001      -999      -999     
b01003    2         2001      -999      -999     
b01004    2         2001      -999      -999     
a01005    1         2001      -999      -999     
b01006    2         2001      -999      -999     
b01007    2         2001      -999      -999     
a01008    1         2001      -999      -999     
b01009    2         2001      -999      -999     
a01010    1         2001      -999      -999     
b01011    2         2001      -999      -999     
b01012    2         2001      -999      -999     
b01013    2         2001      -999      -999     
b01014    2         2001      -999      -999     
b01015    2         2001      -999      -999     
a01016    1         2001      -999      -999     
b01017    2         2001      -999      -999     
b01018    2         2001      -999      -999     
b01019    2         2001      -999      -999     
a01020    1         2001      -999      -999     
b01021    2         2001      -999      -999     
a01022    1         2001      -999      -999     
a01023    1         2001      -999      -999     
b01024    2         2001      -999      -999     
a01025    1         2001      -999      -999     
b01026    2         2001      -999      -999     
a01027    1         2001      -999      -999     
b01028    2         2001      -999      -999     
